id_venda,data_venda,estado,produto,categoria,quantidade,valor_final
126,2025-12-25,BA,Webcam,Acessório,3,611.75
127,2025-04-21,CE,Roteador,Redes,2,930.62
128,2026-02-26,CE,Teclado,Acessório,1,136.79
129,2025-03-30,RJ,Headset,Acessório,3,897.75
130,2025-08-10,PE,Roteador,Redes,2,836.44
131,2025-07-01,CE,Hub Usb,Acessório,5,434.34
132,2025-04-30,RN,Mouse,Acessório,3,168.58
133,2025-10-28,PR,Mesa Escritório,Móveis,1,779.08
134,2025-12-26,RJ,Teclado,Acessório,6,909.49
135,2025-04-18,PE,Notebook,Informática,3,10396.74
136,2025-01-11,PR,Notebook,Informática,1,3478.91
137,2025-12-23,MG,Monitor,Informática,2,2416.32
138,2025-08-30,CE,Cadeira Gamer,Móveis,1,927.91
139,2026-02-24,RJ,Notebook,Informática,2,6543.32
140,2025-08-05,BA,Teclado,Acessório,2,286.58
141,2025-03-17,MG,Headset,Acessório,2,553.45
142,2025-01-26,CE,Webcam,Acessório,1,187.63
143,2026-01-24,CE,Headset,Acessório,1,298.0
144,2025-05-04,SP,Mouse,Acessório,1,76.03
145,2025-09-20,SP,Mesa Escritório,Móveis,3,2000.43
146,2025-10-27,SP,Cadeira Gamer,Móveis,1,705.06
147,2025-12-05,PE,Hub Usb,Acessório,2,175.22
148,2025-05-31,RN,Mesa Escritório,Móveis,1,784.96
149,2025-12-15,PE,Monitor,Informática,1,1098.12
150,2025-10-23,SP,Monitor,Informática,4,4548.72
151,2025-06-09,BA,Roteador,Redes,4,1519.77
152,2026-01-11,BA,Teclado,Acessório,3,449.88
153,2025-08-31,MG,Ssd 1Tb,Informática,1,570.28
154,2025-10-08,BA,Teclado,Acessório,6,765.4
155,2026-03-13,CE,Teclado,Acessório,1,144.5
156,2025-02-27,RJ,Mesa Escritório,Móveis,1,740.94
157,2025-12-02,CE,Mouse,Acessório,1,51.18
158,2025-09-16,CE,Mesa Escritório,Móveis,2,1316.35
159,2025-01-19,CE,Headset,Acessório,4,1051.34
160,2025-02-19,RJ,Impressora,Escritório,2,1618.95
161,2026-01-23,MG,Webcam,Acessório,3,630.18
162,2025-07-18,RN,Teclado,Acessório,1,137.98
163,2025-12-18,BA,Monitor,Informática,1,1036.11
164,2025-08-10,PE,Headset,Acessório,1,316.64
165,2025-07-15,BA,Mesa Escritório,Móveis,1,668.2
166,2025-04-06,BA,Mesa Escritório,Móveis,2,1491.46
167,2025-09-27,CE,Roteador,Redes,1,435.84
168,2025-01-21,BA,Monitor,Informática,3,3444.45
169,2025-08-10,PR,Mouse,Acessório,1,76.2
170,2025-08-10,BA,Headset,Acessório,4,1168.52
171,2025-03-11,CE,Teclado,Acessório,2,293.52
172,2025-04-19,PE,Monitor,Informática,2,2452.84
173,2025-06-19,MG,Hub Usb,Acessório,3,211.62
174,2025-12-14,BA,Webcam,Acessório,2,374.48
175,2026-01-29,CE,Hub Usb,Acessório,1,96.26
176,2025-03-23,RJ,Teclado,Acessório,4,595.95
177,2026-03-04,RJ,Roteador,Redes,4,1652.92
178,2025-09-21,BA,Monitor,Informática,3,3716.31
179,2025-10-21,RJ,Mesa Escritório,Móveis,3,2047.44
180,2025-03-27,RJ,Mesa Escritório,Móveis,4,3326.96
181,2025-11-05,MG,Mesa Escritório,Móveis,4,2711.99
182,2025-08-10,MG,Cadeira Gamer,Móveis,3,2451.6
183,2025-12-15,CE,Webcam,Acessório,1,171.16
184,2025-03-24,BA,Ssd 1Tb,Informática,2,983.9
185,2026-03-12,PR,Notebook,Informática,1,3296.1
186,2026-01-07,BA,Ssd 1Tb,Informática,4,2093.44
187,2025-10-16,MG,Impressora,Escritório,3,2716.32
188,2025-07-24,SP,Cadeira Gamer,Móveis,3,2950.8
189,2025-02-10,PE,Mouse,Acessório,5,397.1
190,2025-09-15,MG,Ssd 1Tb,Informática,4,2153.68
191,2025-08-06,RJ,Teclado,Acessório,4,721.84
192,2026-03-11,BA,Impressora,Escritório,1,834.58
193,2025-10-23,MG,Webcam,Acessório,1,199.75
194,2025-06-25,BA,Mouse,Acessório,1,58.63
195,2025-02-18,BA,Headset,Acessório,1,282.09
196,2025-10-08,BA,Ssd 1Tb,Informática,2,907.05
197,2025-06-26,PR,Ssd 1Tb,Informática,2,793.7
198,2025-11-17,CE,Mouse,Acessório,2,166.62
199,2025-04-06,MG,Ssd 1Tb,Informática,2,919.31
200,2026-02-23,BA,Monitor,Informática,4,4857.32
201,2025-05-10,CE,Ssd 1Tb,Informática,1,538.42
202,2025-09-13,BA,Monitor,Informática,2,2078.07
203,2025-12-28,RN,Notebook,Informática,2,6340.58
204,2025-11-14,MG,Teclado,Acessório,5,762.2
205,2025-02-20,BA,Impressora,Escritório,3,2592.69
206,2026-02-25,CE,Ssd 1Tb,Informática,3,1610.97
207,2025-12-12,PE,Hub Usb,Acessório,1,95.75
208,2025-07-12,BA,Ssd 1Tb,Informática,1,534.37
209,2025-07-02,RN,Notebook,Informática,3,10697.1
210,2025-02-10,SP,Roteador,Redes,1,438.69
211,2025-08-17,RJ,Notebook,Informática,1,2577.59
212,2025-05-05,BA,Hub Usb,Acessório,2,216.82
213,2025-02-27,RN,Roteador,Redes,2,912.04
214,2025-08-10,BA,Hub Usb,Acessório,2,168.52
215,2025-10-15,CE,Monitor,Informática,3,3491.88
216,2025-07-21,PE,Teclado,Acessório,1,149.63
217,2025-08-09,RN,Roteador,Redes,3,1041.85
218,2025-03-09,BA,Monitor,Informática,2,2319.72
219,2025-07-29,RN,Monitor,Informática,1,991.38
220,2025-11-10,MG,Webcam,Acessório,4,918.84
221,2025-03-27,SP,Cadeira Gamer,Móveis,1,965.84
222,2025-12-21,PR,Cadeira Gamer,Móveis,5,5346.8
223,2025-06-07,PR,Notebook,Informática,2,6805.12
224,2025-05-06,CE,Hub Usb,Acessório,2,193.02
225,2025-01-19,MG,Roteador,Redes,3,1281.76
226,2025-08-07,PR,Roteador,Redes,5,1663.56
227,2025-07-31,CE,Monitor,Informática,1,1258.33
228,2025-12-11,CE,Webcam,Acessório,2,386.52
229,2025-05-24,CE,Mouse,Acessório,1,77.09
230,2026-02-06,PR,Mouse,Acessório,2,155.72
231,2025-07-18,BA,Notebook,Informática,4,12142.6
232,2025-05-20,CE,Mesa Escritório,Móveis,1,712.3
233,2025-02-14,PR,Headset,Acessório,5,1317.08
234,2025-08-29,MG,Mesa Escritório,Móveis,3,2067.88
235,2026-02-23,RN,Mouse,Acessório,3,219.73
236,2026-01-14,BA,Mesa Escritório,Móveis,6,3933.6
237,2025-08-20,PE,Mesa Escritório,Móveis,3,2493.21
238,2025-01-01,SP,Webcam,Acessório,1,189.01
239,2025-01-06,BA,Teclado,Acessório,5,695.09
240,2025-08-10,RJ,Teclado,Acessório,2,298.08
241,2025-05-06,PR,Mouse,Acessório,1,66.0
242,2025-02-01,SP,Hub Usb,Acessório,1,99.47
243,2026-02-05,BA,Teclado,Acessório,1,152.39
244,2025-08-10,BA,Notebook,Informática,1,3042.36
245,2025-06-21,MG,Mesa Escritório,Móveis,4,2968.27
246,2025-05-09,CE,Monitor,Informática,2,2168.12
247,2025-11-24,MG,Impressora,Escritório,2,1528.78
248,2025-03-15,BA,Impressora,Escritório,2,1824.7
249,2026-03-09,CE,Headset,Acessório,1,302.55
250,2025-10-11,PE,Monitor,Informática,1,1122.74
251,2025-01-09,BA,Ssd 1Tb,Informática,6,2464.94
252,2025-06-07,BA,Teclado,Acessório,5,609.79
253,2025-10-31,RN,Monitor,Informática,2,2843.46
254,2025-08-02,RN,Roteador,Redes,1,325.73
255,2025-11-13,BA,Mouse,Acessório,3,209.85
256,2025-01-23,BA,Hub Usb,Acessório,1,86.0
257,2025-01-28,BA,Impressora,Escritório,1,777.07
258,2026-02-09,BA,Hub Usb,Acessório,1,77.47
259,2025-01-23,BA,Notebook,Informática,1,3952.07
260,2025-03-24,RJ,Impressora,Escritório,4,3827.08
261,2026-01-12,BA,Mouse,Acessório,4,317.22
262,2025-09-15,SP,Webcam,Acessório,2,478.14
263,2025-05-28,PR,Headset,Acessório,3,867.45
264,2025-07-30,BA,Mesa Escritório,Móveis,1,662.56
265,2025-12-31,PR,Hub Usb,Acessório,2,208.32
266,2025-01-13,RN,Cadeira Gamer,Móveis,2,1952.16
267,2025-03-13,PE,Impressora,Escritório,4,3251.86
268,2025-12-08,RN,Webcam,Acessório,4,818.71
269,2025-03-15,PE,Hub Usb,Acessório,3,229.68
270,2025-10-14,CE,Cadeira Gamer,Móveis,1,887.87
271,2025-11-18,PR,Headset,Acessório,1,263.61
272,2026-01-27,BA,Monitor,Informática,2,2495.04
273,2026-03-02,PE,Ssd 1Tb,Informática,3,1623.18
274,2025-08-10,MG,Cadeira Gamer,Móveis,2,1722.31
275,2025-12-08,RJ,Mouse,Acessório,3,250.32
276,2025-09-28,PE,Hub Usb,Acessório,5,476.8
277,2025-03-05,BA,Mouse,Acessório,3,212.79
278,2025-01-07,BA,Webcam,Acessório,2,425.76
279,2026-01-23,BA,Roteador,Redes,1,442.63
280,2025-03-20,BA,Headset,Acessório,1,282.11
281,2025-01-19,RJ,Impressora,Escritório,3,1845.34
282,2025-10-30,CE,Cadeira Gamer,Móveis,2,1838.22
283,2025-12-19,BA,Cadeira Gamer,Móveis,3,3105.78
284,2025-03-27,RN,Impressora,Escritório,1,983.31
285,2025-08-07,RJ,Hub Usb,Acessório,2,171.34
286,2025-10-17,PE,Mesa Escritório,Móveis,2,1502.1
287,2025-03-18,BA,Monitor,Informática,1,1198.08
288,2025-02-02,CE,Webcam,Acessório,2,345.54
289,2026-02-17,RN,Hub Usb,Acessório,4,341.29
290,2026-03-07,RJ,Notebook,Informática,3,11106.93
291,2025-03-24,MG,Cadeira Gamer,Móveis,5,4963.46
292,2025-08-21,BA,Roteador,Redes,1,402.21
293,2025-03-30,CE,Teclado,Acessório,1,134.05
294,2025-11-04,PE,Headset,Acessório,4,1238.6
295,2025-11-04,RN,Headset,Acessório,1,290.42
296,2025-02-07,MG,Headset,Acessório,1,263.64
297,2025-03-28,CE,Teclado,Acessório,3,449.13
298,2026-01-13,PE,Teclado,Acessório,6,858.9
299,2025-08-10,PR,Mouse,Acessório,3,250.08
300,2025-08-10,PE,Webcam,Acessório,2,502.72
301,2026-02-13,CE,Cadeira Gamer,Móveis,1,936.4
302,2025-07-03,BA,Cadeira Gamer,Móveis,3,2414.83
303,2025-05-29,PR,Mesa Escritório,Móveis,1,717.47
304,2026-01-29,MG,Cadeira Gamer,Móveis,5,4446.55
305,2025-12-11,BA,Hub Usb,Acessório,3,264.57
306,2025-02-27,PR,Notebook,Informática,4,14763.2
307,2025-04-14,BA,Hub Usb,Acessório,2,177.65
308,2025-08-10,CE,Notebook,Informática,3,11606.52
309,2025-08-02,CE,Cadeira Gamer,Móveis,1,784.44
310,2025-07-02,CE,Webcam,Acessório,2,400.29
311,2026-02-14,PR,Notebook,Informática,1,2865.79
312,2025-06-21,BA,Mesa Escritório,Móveis,1,815.21
313,2025-01-16,MG,Impressora,Escritório,2,1912.84
314,2026-01-05,RJ,Roteador,Redes,2,736.06
315,2026-01-07,PE,Webcam,Acessório,2,346.52
316,2025-03-05,CE,Cadeira Gamer,Móveis,4,3747.24
317,2025-02-23,CE,Headset,Acessório,1,329.85
318,2026-01-10,MG,Roteador,Redes,3,1177.66
319,2025-09-25,RJ,Cadeira Gamer,Móveis,3,2777.64
320,2026-02-05,RN,Impressora,Escritório,4,3477.0
321,2025-12-29,SP,Mouse,Acessório,2,145.2
322,2025-08-10,CE,Cadeira Gamer,Móveis,1,876.83
323,2025-12-14,PE,Cadeira Gamer,Móveis,3,2495.25
324,2025-02-03,CE,Impressora,Escritório,2,1741.22
325,2025-01-22,BA,Headset,Acessório,2,559.12
326,2025-06-03,CE,Roteador,Redes,1,382.12
327,2025-12-21,CE,Webcam,Acessório,3,651.73
328,2025-03-05,RN,Teclado,Acessório,4,595.72
329,2025-08-10,CE,Mesa Escritório,Móveis,1,626.42
330,2025-01-02,CE,Ssd 1Tb,Informática,1,484.78
331,2025-08-10,MG,Hub Usb,Acessório,1,95.38
332,2026-01-27,BA,Hub Usb,Acessório,5,475.35
333,2025-08-10,PR,Hub Usb,Acessório,3,267.84
334,2026-01-07,PE,Headset,Acessório,3,1010.79
335,2025-08-05,SP,Ssd 1Tb,Informática,1,449.51
336,2025-08-27,CE,Monitor,Informática,1,1135.67
337,2025-04-23,BA,Cadeira Gamer,Móveis,4,3233.77
338,2025-03-15,BA,Mouse,Acessório,3,211.27
339,2026-02-06,BA,Roteador,Redes,4,1326.59
340,2025-05-01,SP,Monitor,Informática,3,3619.44
341,2025-04-02,RJ,Headset,Acessório,2,523.55
342,2025-01-05,CE,Roteador,Redes,1,344.5
343,2026-02-10,BA,Impressora,Escritório,4,3206.66
344,2025-06-16,RJ,Ssd 1Tb,Informática,2,1204.0
345,2025-12-12,PE,Teclado,Acessório,4,634.64
346,2025-07-19,MG,Roteador,Redes,1,429.27
347,2026-01-13,PR,Impressora,Escritório,1,719.1
348,2025-11-18,SP,Teclado,Acessório,2,260.56
349,2025-07-15,RN,Roteador,Redes,1,392.26
350,2025-03-28,SP,Mouse,Acessório,2,151.04
351,2025-07-11,PR,Monitor,Informática,2,2312.78
352,2025-04-20,BA,Mouse,Acessório,2,151.75
353,2025-12-14,CE,Webcam,Acessório,2,417.55
354,2026-01-23,PE,Monitor,Informática,1,1255.24
355,2025-06-25,PR,Monitor,Informática,3,3527.22
356,2025-05-01,SP,Teclado,Acessório,5,773.55
357,2026-01-26,PR,Impressora,Escritório,2,1656.04
358,2025-07-22,SP,Headset,Acessório,2,571.18
359,2026-01-12,CE,Headset,Acessório,3,885.12
360,2025-03-26,PE,Monitor,Informática,3,3143.01
361,2025-02-19,CE,Impressora,Escritório,3,2704.29
362,2025-11-22,PR,Hub Usb,Acessório,2,175.76
363,2025-11-06,RN,Impressora,Escritório,1,877.42
364,2025-07-08,PE,Cadeira Gamer,Móveis,4,3842.32
365,2026-01-11,MG,Roteador,Redes,3,1098.11
366,2026-01-21,BA,Monitor,Informática,1,1054.0
367,2026-01-03,PE,Webcam,Acessório,4,1008.08
368,2026-03-10,CE,Notebook,Informática,2,6209.41
369,2025-08-10,BA,Mesa Escritório,Móveis,3,2273.7
370,2026-02-22,PR,Headset,Acessório,3,915.56
371,2025-10-23,SP,Mesa Escritório,Móveis,1,745.73
372,2025-03-02,RJ,Teclado,Acessório,1,116.8
373,2025-03-01,PR,Notebook,Informática,2,6037.42
374,2025-02-02,BA,Ssd 1Tb,Informática,1,528.92
375,2025-09-17,BA,Mouse,Acessório,1,72.96
376,2025-01-19,SP,Notebook,Informática,2,6601.68
377,2025-08-10,PR,Mesa Escritório,Móveis,1,759.91
378,2026-02-13,RJ,Cadeira Gamer,Móveis,1,958.25
379,2026-01-20,BA,Teclado,Acessório,2,285.01
380,2025-12-28,BA,Hub Usb,Acessório,1,104.3
381,2025-02-13,RN,Hub Usb,Acessório,1,83.1
382,2025-11-07,BA,Roteador,Redes,2,812.97
383,2025-01-02,PE,Cadeira Gamer,Móveis,3,2853.33
384,2025-02-21,MG,Webcam,Acessório,5,927.34
385,2025-07-03,CE,Headset,Acessório,2,559.12
386,2025-03-09,RJ,Ssd 1Tb,Informática,4,1979.03
387,2025-05-15,PE,Cadeira Gamer,Móveis,1,868.63
388,2025-01-27,CE,Monitor,Informática,5,5294.26
389,2025-11-07,BA,Impressora,Escritório,2,1982.63
390,2025-01-22,PR,Roteador,Redes,2,625.73
391,2025-08-12,RN,Roteador,Redes,1,366.04
392,2025-11-07,MG,Headset,Acessório,4,1220.11
393,2026-02-09,RN,Teclado,Acessório,1,122.17
394,2025-04-01,PR,Monitor,Informática,6,6646.83
395,2026-01-09,PR,Impressora,Escritório,1,958.95
396,2026-01-08,MG,Roteador,Redes,2,839.36
397,2026-02-22,PR,Hub Usb,Acessório,2,197.72
398,2025-04-25,CE,Teclado,Acessório,2,301.3
399,2026-02-20,RN,Webcam,Acessório,3,619.68
400,2025-08-06,CE,Webcam,Acessório,1,177.69
401,2025-04-15,PE,Webcam,Acessório,1,210.08
402,2025-07-13,RN,Roteador,Redes,1,415.86
403,2025-08-16,MG,Headset,Acessório,2,590.18
404,2025-03-06,PR,Mouse,Acessório,2,171.68
405,2025-01-15,PE,Hub Usb,Acessório,2,182.3
406,2025-06-11,SP,Ssd 1Tb,Informática,3,1321.41
407,2026-01-29,BA,Mesa Escritório,Móveis,2,1511.14
408,2025-02-19,RJ,Mesa Escritório,Móveis,1,740.1
409,2025-10-19,MG,Teclado,Acessório,1,131.17
410,2025-03-21,CE,Ssd 1Tb,Informática,4,2154.64
411,2025-04-19,MG,Webcam,Acessório,1,209.27
412,2025-02-12,MG,Cadeira Gamer,Móveis,2,1680.4
413,2025-12-21,RJ,Headset,Acessório,4,1353.32
414,2025-08-19,MG,Ssd 1Tb,Informática,4,1966.32
415,2025-11-29,MG,Mouse,Acessório,2,151.35
416,2025-11-29,PE,Mouse,Acessório,3,263.31
417,2025-01-04,PR,Mesa Escritório,Móveis,2,1413.95
418,2025-10-12,MG,Headset,Acessório,1,317.44
419,2025-04-15,SP,Teclado,Acessório,2,280.74
420,2025-12-04,PR,Headset,Acessório,3,923.97
421,2025-04-18,CE,Impressora,Escritório,2,1638.22
422,2025-04-21,MG,Notebook,Informática,1,3301.8
423,2025-07-21,PR,Monitor,Informática,1,1258.28
424,2025-05-31,BA,Cadeira Gamer,Móveis,1,997.17
425,2025-04-30,BA,Impressora,Escritório,3,2036.3
426,2025-03-29,BA,Mouse,Acessório,2,128.4
427,2025-09-10,CE,Mouse,Acessório,2,152.59
428,2025-05-13,RN,Notebook,Informática,1,3116.24
429,2025-10-23,BA,Ssd 1Tb,Informática,2,883.37
430,2025-06-24,MG,Impressora,Escritório,1,751.31
431,2025-10-23,MG,Mesa Escritório,Móveis,4,2825.93
432,2025-07-09,RN,Impressora,Escritório,4,3247.03
433,2025-07-20,CE,Monitor,Informática,3,3554.6
434,2025-08-22,PE,Teclado,Acessório,3,444.96
435,2026-01-22,PE,Ssd 1Tb,Informática,6,3215.52
436,2025-03-17,PR,Mesa Escritório,Móveis,1,735.91
437,2025-07-20,PR,Webcam,Acessório,3,742.4
438,2025-02-03,BA,Impressora,Escritório,2,1739.83
439,2025-10-27,RJ,Monitor,Informática,3,3249.71
440,2025-06-04,SP,Headset,Acessório,1,289.67
441,2025-11-11,CE,Mouse,Acessório,1,88.24
442,2025-10-17,PE,Mouse,Acessório,3,220.28
443,2025-03-20,BA,Mouse,Acessório,2,163.56
444,2025-04-05,MG,Mesa Escritório,Móveis,1,783.7
445,2025-01-06,PR,Hub Usb,Acessório,5,419.9
446,2025-12-02,MG,Mouse,Acessório,4,233.34
447,2025-10-29,BA,Roteador,Redes,2,855.49
448,2025-02-28,BA,Notebook,Informática,2,6245.24
449,2025-08-11,MG,Monitor,Informática,3,3935.97
450,2025-09-14,PE,Hub Usb,Acessório,2,172.23
451,2025-02-08,RJ,Teclado,Acessório,2,327.45
452,2025-09-10,RJ,Notebook,Informática,4,16113.0
453,2026-02-01,PE,Notebook,Informática,2,6862.41
454,2025-04-27,BA,Mouse,Acessório,2,151.68
455,2025-05-09,MG,Mouse,Acessório,1,74.6
456,2025-03-12,PR,Mouse,Acessório,3,192.77
457,2025-01-10,MG,Headset,Acessório,2,641.11
458,2026-02-18,BA,Roteador,Redes,2,668.03
459,2025-10-20,BA,Cadeira Gamer,Móveis,2,1709.5
460,2025-05-22,BA,Notebook,Informática,1,3597.62
461,2025-02-01,CE,Roteador,Redes,1,291.82
462,2025-07-28,BA,Webcam,Acessório,2,379.1
463,2025-02-09,SP,Mesa Escritório,Móveis,1,729.61
464,2026-01-19,BA,Impressora,Escritório,1,890.1
465,2025-06-24,MG,Cadeira Gamer,Móveis,2,2036.82
466,2025-08-05,MG,Teclado,Acessório,1,143.41
467,2025-03-19,RN,Teclado,Acessório,5,691.4
468,2025-01-22,MG,Teclado,Acessório,1,139.29
469,2025-10-10,SP,Mouse,Acessório,2,160.64
470,2025-05-15,PE,Headset,Acessório,1,294.17
471,2025-11-21,CE,Ssd 1Tb,Informática,1,523.14
472,2025-08-03,BA,Teclado,Acessório,1,151.05
473,2025-12-06,RJ,Webcam,Acessório,3,571.31
474,2025-07-30,RJ,Mesa Escritório,Móveis,6,4647.67
