id_venda,data_venda,id_cliente,id_produto,quantidade,valor_unitario,desconto_pct,canal,status_pedido,valor_total_bruto,valor_final
113,2026-03-01,10259,1012,5,426.18,0.05,marketplace,concluído,2130.9,2024.35
114,2026-03-12,11191,1008,1,959.51,0.05,marketplace,concluído,959.51,911.53
115,2025-12-19,10254,1007,2,262.56,0.1,app,concluído,525.12,472.61
116,2025-01-05,10437,1004,1,1234.8,0.15,loja física,pendente,1234.8,1049.58
117,2025-11-09,10272,1009,5,572.05,0.0,site,em separação,2860.25,2860.25
118,2026-02-03,10567,1010,4,106.22,0.0,marketplace,concluído,424.88,424.88
119,2026-03-06,10145,1003,2,153.55,0.0,loja física,em separação,307.1,307.1
120,2025-02-10,10168,1002,4,72.98,0.15,marketplace,concluído,291.92,248.13
121,2025-12-26,11246,1001,2,3469.58,0.15,app,pendente,6939.16,5898.29
122,2025-01-29,11072,1008,6,886.05,0.2,marketplace,concluído,5316.3,4253.04
123,2025-08-02,11132,1006,3,220.28,0.0,app,em separação,660.84,660.84
124,2025-08-26,10755,1010,2,82.85,0.0,app,concluído,165.7,165.7
125,2025-09-09,11489,1004,3,1120.52,0.1,loja física,concluído,3361.56,3025.4
126,2025-12-25,11356,1006,3,214.65,0.05,loja física,cancelado,643.95,611.75
127,2025-04-21,10245,1012,2,465.31,0.0,site,concluído,930.62,930.62
128,2026-02-26,10286,1003,1,151.99,0.1,app,concluído,151.99,136.79
129,2025-03-30,10887,1007,3,299.25,0.0,loja física,concluído,897.75,897.75
130,2025-08-10,10510,1012,2,418.22,0.0,marketplace,concluído,836.44,836.44
131,2025-07-01,11345,1010,5,96.52,0.1,loja física,concluído,482.6,434.34
132,2025-04-30,11110,1002,3,66.11,0.15,site,em separação,198.33,168.58
133,2025-10-28,11077,1011,1,779.08,0.0,loja física,concluído,779.08,779.08
134,2025-12-26,10628,1003,6,159.56,0.05,site,concluído,957.36,909.49
135,2025-04-18,10181,1001,3,3465.58,0.0,marketplace,concluído,10396.74,10396.74
136,2025-01-11,11407,1001,1,3478.91,0.0,marketplace,concluído,3478.91,3478.91
137,2025-12-23,10321,1004,2,1271.75,0.05,loja física,concluído,2543.5,2416.32
138,2025-08-30,11307,1005,1,927.91,0.0,loja física,concluído,927.91,927.91
139,2026-02-24,10704,1001,2,3271.66,0.0,loja física,concluído,6543.32,6543.32
140,2025-08-05,10919,1003,2,143.29,0.0,site,concluído,286.58,286.58
141,2025-03-17,11434,1007,2,307.47,0.1,app,concluído,614.94,553.45
142,2025-01-26,11394,1006,1,220.74,0.15,app,em separação,220.74,187.63
143,2026-01-24,11322,1007,1,331.11,0.1,loja física,concluído,331.11,298.0
144,2025-05-04,10754,1002,1,76.03,0.0,site,concluído,76.03,76.03
145,2025-09-20,11325,1011,3,740.9,0.1,loja física,concluído,2222.7,2000.43
146,2025-10-27,10714,1005,1,783.4,0.1,loja física,cancelado,783.4,705.06
147,2025-12-05,10611,1010,2,87.61,0.0,loja física,concluído,175.22,175.22
148,2025-05-31,11375,1011,1,784.96,0.0,app,concluído,784.96,784.96
149,2025-12-15,10241,1004,1,1098.12,0.0,site,concluído,1098.12,1098.12
150,2025-10-23,11299,1004,4,1137.18,0.0,app,concluído,4548.72,4548.72
151,2025-06-09,11385,1012,4,399.94,0.05,marketplace,concluído,1599.76,1519.77
152,2026-01-11,10826,1003,3,149.96,0.0,app,concluído,449.88,449.88
153,2025-08-31,10237,1009,1,600.3,0.05,marketplace,concluído,600.3,570.28
154,2025-10-08,11071,1003,6,134.28,0.05,site,concluído,805.68,765.4
155,2026-03-13,10606,1003,1,144.5,0.0,site,concluído,144.5,144.5
156,2025-02-27,10934,1011,1,740.94,0.0,app,cancelado,740.94,740.94
157,2025-12-02,10999,1002,1,63.98,0.2,marketplace,concluído,63.98,51.18
158,2025-09-16,10788,1011,2,822.72,0.2,app,cancelado,1645.44,1316.35
159,2025-01-19,11018,1007,4,292.04,0.1,loja física,em separação,1168.16,1051.34
160,2025-02-19,10968,1008,2,852.08,0.05,site,concluído,1704.16,1618.95
161,2026-01-23,10804,1006,3,210.06,0.0,site,concluído,630.18,630.18
162,2025-07-18,10362,1003,1,137.98,0.0,site,concluído,137.98,137.98
163,2025-12-18,11436,1004,1,1090.64,0.05,marketplace,concluído,1090.64,1036.11
164,2025-08-10,10585,1007,1,316.64,0.0,app,concluído,316.64,316.64
165,2025-07-15,11149,1011,1,742.44,0.1,site,pendente,742.44,668.2
166,2025-04-06,11484,1011,2,784.98,0.05,site,concluído,1569.96,1491.46
167,2025-09-27,11355,1012,1,435.84,0.0,marketplace,concluído,435.84,435.84
168,2025-01-21,11329,1004,3,1208.58,0.05,app,cancelado,3625.74,3444.45
169,2025-08-10,10196,1002,1,76.2,0.0,app,concluído,76.2,76.2
170,2025-08-10,10515,1007,4,324.59,0.1,loja física,concluído,1298.36,1168.52
171,2025-03-11,10896,1003,2,146.76,0.0,app,concluído,293.52,293.52
172,2025-04-19,11172,1004,2,1290.97,0.05,marketplace,concluído,2581.94,2452.84
173,2025-06-19,10137,1010,3,82.99,0.15,loja física,concluído,248.97,211.62
174,2025-12-14,11458,1006,2,220.28,0.15,app,concluído,440.56,374.48
175,2026-01-29,10038,1010,1,96.26,0.0,loja física,concluído,96.26,96.26
176,2025-03-23,11357,1003,4,156.83,0.05,loja física,concluído,627.32,595.95
177,2026-03-04,10931,1012,4,413.23,0.0,marketplace,concluído,1652.92,1652.92
178,2025-09-21,10013,1004,3,1238.77,0.0,site,não informado,3716.31,3716.31
179,2025-10-21,10088,1011,3,758.31,0.1,site,concluído,2274.93,2047.44
180,2025-03-27,10841,1011,4,831.74,0.0,marketplace,concluído,3326.96,3326.96
181,2025-11-05,11088,1011,4,753.33,0.1,app,pendente,3013.32,2711.99
182,2025-08-10,11426,1005,3,908.0,0.1,loja física,concluído,2724.0,2451.6
183,2025-12-15,11198,1006,1,201.37,0.15,marketplace,concluído,201.37,171.16
184,2025-03-24,10331,1009,2,517.84,0.05,site,em separação,1035.68,983.9
185,2026-03-12,10117,1001,1,3469.58,0.05,app,concluído,3469.58,3296.1
186,2026-01-07,10410,1009,4,654.2,0.2,marketplace,concluído,2616.8,2093.44
187,2025-10-16,10527,1008,3,905.44,0.0,loja física,concluído,2716.32,2716.32
188,2025-07-24,11097,1005,3,983.6,0.0,site,pendente,2950.8,2950.8
189,2025-02-10,10415,1002,5,79.42,0.0,site,em separação,397.1,397.1
190,2025-09-15,11181,1009,4,538.42,0.0,site,em separação,2153.68,2153.68
191,2025-08-06,10551,1003,4,180.46,0.0,loja física,concluído,721.84,721.84
192,2026-03-11,10306,1008,1,927.31,0.1,app,concluído,927.31,834.58
193,2025-10-23,10527,1006,1,235.0,0.15,app,concluído,235.0,199.75
194,2025-06-25,11292,1002,1,65.15,0.1,app,concluído,65.15,58.63
195,2025-02-18,11435,1007,1,282.09,0.0,site,concluído,282.09,282.09
196,2025-10-08,11358,1009,2,533.56,0.15,marketplace,concluído,1067.12,907.05
197,2025-06-26,10532,1009,2,496.06,0.2,app,concluído,992.12,793.7
198,2025-11-17,11322,1002,2,83.31,0.0,loja física,em separação,166.62,166.62
199,2025-04-06,10384,1009,2,510.73,0.1,site,concluído,1021.46,919.31
200,2026-02-23,10803,1004,4,1214.33,0.0,marketplace,concluído,4857.32,4857.32
201,2025-05-10,10661,1009,1,538.42,0.0,site,pendente,538.42,538.42
202,2025-09-13,11409,1004,2,1093.72,0.05,app,concluído,2187.44,2078.07
203,2025-12-28,11411,1001,2,3170.29,0.0,loja física,cancelado,6340.58,6340.58
204,2025-11-14,10001,1003,5,152.44,0.0,site,concluído,762.2,762.2
205,2025-02-20,10265,1008,3,864.23,0.0,app,concluído,2592.69,2592.69
206,2026-02-25,10163,1009,3,536.99,0.0,loja física,concluído,1610.97,1610.97
207,2025-12-12,11143,1010,1,95.75,0.0,marketplace,concluído,95.75,95.75
208,2025-07-12,10881,1009,1,534.37,0.0,app,concluído,534.37,534.37
209,2025-07-02,11412,1001,3,3565.7,0.0,loja física,concluído,10697.1,10697.1
210,2025-02-10,10195,1012,1,438.69,0.0,loja física,cancelado,438.69,438.69
211,2025-08-17,11156,1001,1,3032.46,0.15,loja física,pendente,3032.46,2577.59
212,2025-05-05,10405,1010,2,108.41,0.0,app,concluído,216.82,216.82
213,2025-02-27,10091,1012,2,456.02,0.0,site,concluído,912.04,912.04
214,2025-08-10,11275,1010,2,84.26,0.0,site,em separação,168.52,168.52
215,2025-10-15,10992,1004,3,1293.29,0.1,loja física,concluído,3879.87,3491.88
216,2025-07-21,10792,1003,1,149.63,0.0,marketplace,concluído,149.63,149.63
217,2025-08-09,11108,1012,3,408.57,0.15,app,em separação,1225.71,1041.85
218,2025-03-09,10907,1004,2,1159.86,0.0,site,concluído,2319.72,2319.72
219,2025-07-29,11006,1004,1,1043.56,0.05,site,concluído,1043.56,991.38
220,2025-11-10,10829,1006,4,229.71,0.0,loja física,concluído,918.84,918.84
221,2025-03-27,10388,1005,1,1073.16,0.1,loja física,concluído,1073.16,965.84
222,2025-12-21,11208,1005,5,1069.36,0.0,marketplace,concluído,5346.8,5346.8
223,2025-06-07,10307,1001,2,3402.56,0.0,loja física,concluído,6805.12,6805.12
224,2025-05-06,10974,1010,2,96.51,0.0,site,concluído,193.02,193.02
225,2025-01-19,10582,1012,3,449.74,0.05,marketplace,concluído,1349.22,1281.76
226,2025-08-07,11288,1012,5,369.68,0.1,marketplace,não informado,1848.4,1663.56
227,2025-07-31,10049,1004,1,1258.33,0.0,loja física,concluído,1258.33,1258.33
228,2025-12-11,11165,1006,2,193.26,0.0,marketplace,pendente,386.52,386.52
229,2025-05-24,10038,1002,1,81.15,0.05,app,concluído,81.15,77.09
230,2026-02-06,10619,1002,2,77.86,0.0,marketplace,pendente,155.72,155.72
231,2025-07-18,11057,1001,4,3195.42,0.05,loja física,concluído,12781.68,12142.6
232,2025-05-20,10394,1011,1,838.0,0.15,site,concluído,838.0,712.3
233,2025-02-14,10266,1007,5,277.28,0.05,site,cancelado,1386.4,1317.08
234,2025-08-29,11430,1011,3,765.88,0.1,loja física,concluído,2297.64,2067.88
235,2026-02-23,10713,1002,3,77.1,0.05,loja física,concluído,231.3,219.73
236,2026-01-14,11161,1011,6,819.5,0.2,site,concluído,4917.0,3933.6
237,2025-08-20,10185,1011,3,831.07,0.0,app,não informado,2493.21,2493.21
238,2025-01-01,11045,1006,1,222.36,0.15,site,em separação,222.36,189.01
239,2025-01-06,10737,1003,5,163.55,0.15,app,concluído,817.75,695.09
240,2025-08-10,11130,1003,2,149.04,0.0,loja física,concluído,298.08,298.08
241,2025-05-06,11497,1002,1,73.33,0.1,site,concluído,73.33,66.0
242,2025-02-01,10072,1010,1,104.71,0.05,marketplace,pendente,104.71,99.47
243,2026-02-05,11211,1003,1,160.41,0.05,marketplace,concluído,160.41,152.39
244,2025-08-10,10706,1001,1,3579.25,0.15,app,concluído,3579.25,3042.36
245,2025-06-21,11088,1011,4,824.52,0.1,marketplace,em separação,3298.08,2968.27
246,2025-05-09,11075,1004,2,1204.51,0.1,marketplace,concluído,2409.02,2168.12
247,2025-11-24,10227,1008,2,955.49,0.2,site,pendente,1910.98,1528.78
248,2025-03-15,10410,1008,2,912.35,0.0,site,pendente,1824.7,1824.7
249,2026-03-09,10801,1007,1,302.55,0.0,loja física,concluído,302.55,302.55
250,2025-10-11,10696,1004,1,1122.74,0.0,app,concluído,1122.74,1122.74
251,2025-01-09,11001,1009,6,456.47,0.1,loja física,concluído,2738.82,2464.94
252,2025-06-07,11266,1003,5,135.51,0.1,site,concluído,677.55,609.79
253,2025-10-31,11401,1004,2,1421.73,0.0,site,em separação,2843.46,2843.46
254,2025-08-02,10165,1012,1,407.16,0.2,marketplace,concluído,407.16,325.73
255,2025-11-13,10857,1002,3,69.95,0.0,site,concluído,209.85,209.85
256,2025-01-23,10583,1010,1,95.56,0.1,loja física,concluído,95.56,86.0
257,2025-01-28,10844,1008,1,863.41,0.1,loja física,concluído,863.41,777.07
258,2026-02-09,10350,1010,1,86.08,0.1,app,concluído,86.08,77.47
259,2025-01-23,10889,1001,1,4160.07,0.05,loja física,concluído,4160.07,3952.07
260,2025-03-24,10605,1008,4,956.77,0.0,marketplace,concluído,3827.08,3827.08
261,2026-01-12,10872,1002,4,83.48,0.05,marketplace,concluído,333.92,317.22
262,2025-09-15,11188,1006,2,239.07,0.0,marketplace,concluído,478.14,478.14
263,2025-05-28,10134,1007,3,289.15,0.0,app,concluído,867.45,867.45
264,2025-07-30,10387,1011,1,779.48,0.15,marketplace,concluído,779.48,662.56
265,2025-12-31,10303,1010,2,104.16,0.0,app,concluído,208.32,208.32
266,2025-01-13,10302,1005,2,976.08,0.0,site,cancelado,1952.16,1952.16
267,2025-03-13,10905,1008,4,956.43,0.15,site,concluído,3825.72,3251.86
268,2025-12-08,10178,1006,4,227.42,0.1,site,concluído,909.68,818.71
269,2025-03-15,10868,1010,3,90.07,0.15,site,cancelado,270.21,229.68
270,2025-10-14,11134,1005,1,986.52,0.1,loja física,concluído,986.52,887.87
271,2025-11-18,11226,1007,1,292.9,0.1,marketplace,pendente,292.9,263.61
272,2026-01-27,10597,1004,2,1247.52,0.0,app,concluído,2495.04,2495.04
273,2026-03-02,10696,1009,3,541.06,0.0,app,concluído,1623.18,1623.18
274,2025-08-10,11223,1005,2,956.84,0.1,site,concluído,1913.68,1722.31
275,2025-12-08,10121,1002,3,83.44,0.0,marketplace,concluído,250.32,250.32
276,2025-09-28,11255,1010,5,95.36,0.0,site,em separação,476.8,476.8
277,2025-03-05,10777,1002,3,78.81,0.1,marketplace,concluído,236.43,212.79
278,2025-01-07,10876,1006,2,212.88,0.0,app,concluído,425.76,425.76
279,2026-01-23,10251,1012,1,442.63,0.0,marketplace,concluído,442.63,442.63
280,2025-03-20,10139,1007,1,296.96,0.05,marketplace,pendente,296.96,282.11
281,2025-01-19,10243,1008,3,768.89,0.2,loja física,concluído,2306.67,1845.34
282,2025-10-30,10974,1005,2,919.11,0.0,loja física,pendente,1838.22,1838.22
283,2025-12-19,11354,1005,3,1035.26,0.0,site,em separação,3105.78,3105.78
284,2025-03-27,10204,1008,1,983.31,0.0,marketplace,em separação,983.31,983.31
285,2025-08-07,10194,1010,2,85.67,0.0,loja física,em separação,171.34,171.34
286,2025-10-17,10436,1011,2,883.59,0.15,loja física,concluído,1767.18,1502.1
287,2025-03-18,10328,1004,1,1198.08,0.0,site,cancelado,1198.08,1198.08
288,2025-02-02,11479,1006,2,215.96,0.2,marketplace,concluído,431.92,345.54
289,2026-02-17,10487,1010,4,100.38,0.15,loja física,pendente,401.52,341.29
290,2026-03-07,10296,1001,3,3702.31,0.0,site,não informado,11106.93,11106.93
291,2025-03-24,10804,1005,5,1044.94,0.05,app,concluído,5224.7,4963.46
292,2025-08-21,11036,1012,1,446.9,0.1,marketplace,concluído,446.9,402.21
293,2025-03-30,10840,1003,1,141.11,0.05,marketplace,concluído,141.11,134.05
294,2025-11-04,10406,1007,4,309.65,0.0,loja física,concluído,1238.6,1238.6
295,2025-11-04,10589,1007,1,305.71,0.05,app,concluído,305.71,290.42
296,2025-02-07,10814,1007,1,292.93,0.1,marketplace,cancelado,292.93,263.64
297,2025-03-28,10759,1003,3,149.71,0.0,marketplace,concluído,449.13,449.13
298,2026-01-13,11255,1003,6,143.15,0.0,marketplace,concluído,858.9,858.9
299,2025-08-10,11452,1002,3,83.36,0.0,app,concluído,250.08,250.08
300,2025-08-10,10673,1006,2,251.36,0.0,site,concluído,502.72,502.72
301,2026-02-13,11165,1005,1,936.4,0.0,marketplace,concluído,936.4,936.4
302,2025-07-03,10246,1005,3,894.38,0.1,app,concluído,2683.14,2414.83
303,2025-05-29,11405,1011,1,797.19,0.1,site,concluído,797.19,717.47
304,2026-01-29,10951,1005,5,889.31,0.0,site,concluído,4446.55,4446.55
305,2025-12-11,10383,1010,3,97.99,0.1,marketplace,concluído,293.97,264.57
306,2025-02-27,10808,1001,4,3690.8,0.0,app,cancelado,14763.2,14763.2
307,2025-04-14,10911,1010,2,93.5,0.05,app,concluído,187.0,177.65
308,2025-08-10,10999,1001,3,3868.84,0.0,loja física,concluído,11606.52,11606.52
309,2025-08-02,11402,1005,1,871.6,0.1,loja física,concluído,871.6,784.44
310,2025-07-02,10621,1006,2,210.68,0.05,marketplace,concluído,421.36,400.29
311,2026-02-14,11413,1001,1,3184.21,0.1,loja física,concluído,3184.21,2865.79
312,2025-06-21,11036,1011,1,815.21,0.0,marketplace,concluído,815.21,815.21
313,2025-01-16,10467,1008,2,956.42,0.0,marketplace,concluído,1912.84,1912.84
314,2026-01-05,11064,1012,2,460.04,0.2,marketplace,concluído,920.08,736.06
315,2026-01-07,10404,1006,2,192.51,0.1,loja física,concluído,385.02,346.52
316,2025-03-05,11034,1005,4,1102.13,0.15,marketplace,concluído,4408.52,3747.24
317,2025-02-23,10717,1007,1,329.85,0.0,app,concluído,329.85,329.85
318,2026-01-10,10540,1012,3,436.17,0.1,loja física,concluído,1308.51,1177.66
319,2025-09-25,10836,1005,3,974.61,0.05,site,concluído,2923.83,2777.64
320,2026-02-05,10091,1008,4,869.25,0.0,marketplace,concluído,3477.0,3477.0
321,2025-12-29,10093,1002,2,72.6,0.0,app,em separação,145.2,145.2
322,2025-08-10,10038,1005,1,974.26,0.1,app,concluído,974.26,876.83
323,2025-12-14,10294,1005,3,831.75,0.0,loja física,concluído,2495.25,2495.25
324,2025-02-03,10788,1008,2,870.61,0.0,loja física,pendente,1741.22,1741.22
325,2025-01-22,10764,1007,2,310.62,0.1,loja física,concluído,621.24,559.12
326,2025-06-03,11198,1012,1,382.12,0.0,site,pendente,382.12,382.12
327,2025-12-21,10658,1006,3,241.38,0.1,site,concluído,724.14,651.73
328,2025-03-05,10252,1003,4,148.93,0.0,site,concluído,595.72,595.72
329,2025-08-10,11447,1011,1,783.02,0.2,loja física,concluído,783.02,626.42
330,2025-01-02,11388,1009,1,510.3,0.05,loja física,em separação,510.3,484.78
331,2025-08-10,10010,1010,1,95.38,0.0,site,em separação,95.38,95.38
332,2026-01-27,10111,1010,5,95.07,0.0,loja física,em separação,475.35,475.35
333,2025-08-10,10106,1010,3,93.98,0.05,loja física,concluído,281.94,267.84
334,2026-01-07,10396,1007,3,336.93,0.0,loja física,concluído,1010.79,1010.79
335,2025-08-05,11346,1009,1,499.46,0.1,site,em separação,499.46,449.51
